timestamp,meter_id,meter_value,panel_value,panel_meter_diff
45000,meter,8680.0,2610.0,-6070.0
45001,meter,8680.08,2610.16,-6069.92
45002,meter,8680.16,2610.32,-6069.84
45003,meter,8680.24,2610.48,-6069.76
45004,meter,8680.32,2610.64,-6069.68
45005,meter,8680.4,2610.8,-6069.6
45006,meter,8680.48,2610.96,-6069.52
45007,meter,8680.56,2611.12,-6069.44
45008,meter,8680.64,2611.28,-6069.36
45009,meter,8680.72,2611.44,-6069.28
45010,meter,8680.8,2611.6,-6069.2
45011,meter,8680.88,2611.76,-6069.12
45012,meter,8680.96,2611.92,-6069.04
45013,meter,8681.04,2612.08,-6068.96
45014,meter,8681.12,2612.24,-6068.88
45015,meter,8681.2,2612.4,-6068.8
45016,meter,8681.28,2612.56,-6068.72
45017,meter,8681.36,2612.72,-6068.64
45018,meter,8681.44,2612.88,-6068.56
45019,meter,8681.52,2613.04,-6068.48
45020,meter,8681.6,2613.2,-6068.4
45021,meter,8681.68,2613.36,-6068.32
45022,meter,8681.76,2613.52,-6068.24
45023,meter,8681.84,2613.67,-6068.17
45024,meter,8681.92,2613.83,-6068.09
45025,meter,8682.0,2613.99,-6068.01
45026,meter,8682.08,2614.15,-6067.93
45027,meter,8682.16,2614.31,-6067.85
45028,meter,8682.24,2614.47,-6067.77
45029,meter,8682.32,2614.63,-6067.69
45030,meter,8682.4,2614.79,-6067.61
45031,meter,8682.48,2614.95,-6067.53
45032,meter,8682.55,2615.11,-6067.44
45033,meter,8682.63,2615.27,-6067.36
45034,meter,8682.71,2615.43,-6067.28
45035,meter,8682.79,2615.59,-6067.2
45036,meter,8682.87,2615.75,-6067.12
45037,meter,8682.95,2615.91,-6067.04
45038,meter,8683.03,2616.07,-6066.96
45039,meter,8683.11,2616.22,-6066.89
45040,meter,8683.19,2616.38,-6066.81
45041,meter,8683.27,2616.54,-6066.73
45042,meter,8683.35,2616.7,-6066.65
45043,meter,8683.43,2616.86,-6066.57
45044,meter,8683.51,2617.02,-6066.49
45045,meter,8683.59,2617.18,-6066.41
45046,meter,8683.67,2617.34,-6066.33
45047,meter,8683.75,2617.5,-6066.25
45048,meter,8683.83,2617.66,-6066.17
45049,meter,8683.91,2617.82,-6066.09
45050,meter,8683.99,2617.97,-6066.02
45051,meter,8684.07,2618.13,-6065.94
45052,meter,8684.15,2618.29,-6065.86
45053,meter,8684.23,2618.45,-6065.78
45054,meter,8684.31,2618.61,-6065.7
45055,meter,8684.38,2618.77,-6065.61
45056,meter,8684.46,2618.93,-6065.53
45057,meter,8684.54,2619.09,-6065.45
45058,meter,8684.62,2619.25,-6065.37
45059,meter,8684.7,2619.41,-6065.29
45060,meter,8684.78,2619.56,-6065.22
45061,meter,8684.86,2619.72,-6065.14
45062,meter,8684.94,2619.88,-6065.06
45063,meter,8685.02,2620.04,-6064.98
45064,meter,8685.1,2620.2,-6064.9
45065,meter,8685.18,2620.36,-6064.82
45066,meter,8685.26,2620.52,-6064.74
45067,meter,8685.34,2620.68,-6064.66
45068,meter,8685.42,2620.83,-6064.59
45069,meter,8685.5,2620.99,-6064.51
45070,meter,8685.58,2621.15,-6064.43
45071,meter,8685.65,2621.31,-6064.34
45072,meter,8685.73,2621.47,-6064.26
45073,meter,8685.81,2621.63,-6064.18
45074,meter,8685.89,2621.79,-6064.1
45075,meter,8685.97,2621.94,-6064.03
45076,meter,8686.05,2622.1,-6063.95
45077,meter,8686.13,2622.26,-6063.87
45078,meter,8686.21,2622.42,-6063.79
45079,meter,8686.29,2622.58,-6063.71
45080,meter,8686.37,2622.74,-6063.63
45081,meter,8686.45,2622.89,-6063.56
45082,meter,8686.53,2623.05,-6063.48
45083,meter,8686.61,2623.21,-6063.4
45084,meter,8686.68,2623.37,-6063.31
45085,meter,8686.76,2623.53,-6063.23
45086,meter,8686.84,2623.69,-6063.15
